feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F182,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F183,0.0,0.008918738132841702,0.5,1.4231952855916404e-6,0.0,false,false,false,false,false,false,false
F184,0.0,0.008918738132841702,0.5,1.4231952855916404e-6,0.0,false,false,false,false,false,false,false
F185,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F186,0.0,0.008918738132841702,0.5,1.4231952855916404e-6,0.0,false,false,false,false,false,false,false
F187,-0.013796592757999365,0.008757781112714108,0.48507387292553517,0.0004936659054916525,0.5,false,false,false,false,false,false,false
F188,-0.013796592757999365,0.008757781112714108,0.48507387292553517,0.0004936659054916525,0.5,false,false,false,false,false,false,false
F189,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F190,-0.028303458031043557,0.008758278805751352,0.48510512292553526,0.0002581836079740336,0.66504329004329,false,false,false,false,false,false,false
F191,-0.028303458031043557,0.008758278805751352,0.48510512292553526,0.0002581836079740336,0.66504329004329,false,false,false,false,false,false,false
F192,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F193,0.005338365482431414,0.009638020570415138,0.48430552584257835,0.0018992169518797196,0.0,false,false,false,false,false,false,false
F194,0.0,0.009115350986355599,0.5108879017829601,0.0006568886083031344,0.0,false,false,false,false,false,false,false
F195,0.007823314677658507,0.009475844360135132,0.48481618531643644,0.001491238982831045,0.0,false,false,false,false,false,false,false
F196,0.0045490553712860425,0.00963668832856108,0.4839310190553179,0.0018970863525500385,0.0,false,false,false,false,false,false,false
F197,0.0,0.009113334408828163,0.5107768215189092,0.0006568886083032921,0.0,false,false,false,false,false,false,false
F198,0.007209850984632115,0.009484332480850382,0.4842198957641542,0.001488864362371594,0.0,false,false,false,false,false,false,false
F199,0.01820227216820469,0.010316929609115188,0.519204194497066,0.0008130541651014995,0.0,false,false,false,false,false,false,false
F200,0.03683468276222359,0.00965565435419773,0.5125415703830115,0.0003279684628511184,0.0,false,false,false,false,false,false,false
F201,0.022451850025276672,0.010447297667147663,0.519092160695946,0.0006014200719094439,0.0,false,false,false,false,false,false,false
F202,0.015582639410297545,0.010247704701548396,0.5126612044688318,0.0004515143493476714,0.0,false,false,false,false,false,false,false
F203,0.013852187970308441,0.009161141833035218,0.48791288030342617,0.000377677014455147,0.0,false,false,false,false,false,false,false
F204,0.02535265139992329,0.010577899701705524,0.522749148643818,0.0006112357893130223,0.0,false,false,false,false,false,false,false
F205,-0.03225516128311403,0.0101167463992577,0.5299003997189289,0.001501663816383041,0.0,false,false,false,false,false,false,false
F206,-0.04334732458271521,0.010117160295585598,0.5337094836338199,0.0013655957627807741,0.0,false,false,false,false,false,false,false
F207,-0.02369236176829096,0.009541485970139582,0.5128025418431299,0.0009789765126340113,0.0,false,false,false,false,false,false,false
F208,-0.034352568015660404,0.010225295710665164,0.5334294372362123,0.0015411455400046207,0.0,false,false,false,false,false,false,false
F209,-0.04418229221525924,0.01012663774664533,0.5336827483052262,0.0013594803100762907,0.0,false,false,false,false,false,false,false
F210,-0.024522581237879194,0.009479555473705234,0.5164240580532601,0.0009661950165279916,0.0,false,false,false,false,false,false,false
F211,0.0029911203238609367,0.009654477809689139,0.5242980751434388,0.0012337917497933092,0.0,false,false,false,false,false,false,false
F212,0.0808215508092812,0.009097643539785039,0.5094396149515701,0.001142266270920663,0.0,false,false,false,false,false,false,false
F213,-0.008067775713848254,0.009543082010473245,0.5064614546702448,0.000774850773035453,0.0,false,false,false,false,false,false,false
F214,-0.007916752626446694,0.00930854833096941,0.5201807888364489,0.0010097155571016714,0.0,false,false,false,false,false,false,false
